,distance,mass,name,radius
0,46.1,48,SDSS J000013.54+255418.6,0.99
1,131,29,2MASS J00332386-1521309,1.43
2,28.6,42,2MASS 0036+1821,0.94
3,40,12,WISEP J004701.06+680352.1,1.3
4,34,40,2MASS J00501994-3322402,0.94
5,96,29,2MASS J00584253-0651239,1.43
6,30,23,CFBDS J005910.90–011401.3,
7,51,52,SDSSp J010752.33+004156.1,0.98
8,163,20,2MASSI J0117474-340325,1.62
9,130,20,2MASS J01415823-4633574,1.61
10,65,,DENIS-P J020529.0−115925,
11,65,,DENIS-P J020529.0−115925,
12,65,,DENIS-P J020529.0−115925,
13,111,47,SDSS J020742.48+000056.2,0.97
14,152,27,2MASS J02411151-0326587,1.41
15,35,33,2MASS J02431371−2453298,0.99
16,12.578,80,Teegarden's star,1.27
17,24,65,WISE J0254+0223,1.9
18,16.2,80,DEN 0255-4700,0.97
19,45,49,2MASS J03185403-3421292,0.97
20,80,18,2MASS J03264225-2102057,1.3
21,98,54,2MASS J03284265+2302051,0.98
22,20.9,73,LP 944-20,1.43
23,88,74,2MASP J0345432+254023,1.05
24,380,55,Teide 1,3.78
25,29.8,20,2MASS J03552337+1133437,1.32
26,130,,DENIS-P J035726.9-441730,
27,18.6,30,2MASS J04151954−0935066,0.95
28,50,,SDSSp J042348.57-041403.5,
29,85,80,2MASS J04285096-2253227,1.09
30,29.5,48,2MASS J04390101-2353083,0.97
31,470,19,2MASS J04414489+2301513,
32,42,64,2MASS J04455387-3048204,1.00
33,69,72,2MASS J04510093-3402150,1.04
34,44,64,2MASS J05002100+0330501,1.00
35,64,21,2MASS J05012406-0010452,1.38
36,73,47,2MASS J05160945-0445499,0.97
37,40,68,2MASS J0523−1403,1.01
38,81,83,2MASS 0532+8246,
39,34,,2MASS J05591914-1404488,
40,34.6,28,LSR 0602+3910,1.41
41,39,56,2MASS J06244595-4521548,0.99
42,65,67,2MASS J06411840-4322329,1.01
43,51,75,DENIS-P J0652197-253450,1.05
44,40,,2MASS J07003664+3157266,
45,13.4,26,UGPS J072227.51-054031.2,0.98
46,29.6,41,2MASSI J0727182+171001,0.94
47,25.8,37,2MASS J07290002-3954043,0.94
48,49,43,SDSS J074201.41+205520.5,0.94
49,49.6,,2MASS J0746425+200032,
50,55,71,DENIS-P J0751164-253043,1.03
51,16.1,44,DENIS J081730.0-615520,0.94
52,67,44,DENIS J082303.1−491201,
53,67,28,DENIS J082303.1−491201,
54,35,52,2MASS J08251968+2115521,0.98
55,43,48,SDSSp J083008.12+482847.4,0.99
56,77,46,SDSS J083048.80+012831.1,0.96
57,23.53,62,2MASSI J0835425-081923,1.00
58,43,64,2MASSI J0847287-153237,1.00
59,50,50,2MASSI J0859254-194926,0.98
60,95,,2MASSW J0920122+351742,
61,20.0,42,2MASSI J0937347+293142,0.94
62,17.4,32,2MASS 0939−2448,0.95
63,59,49,2MASS J09490860-1545485,0.96
64,55,51,2MASSI J1010148-040649,0.98
65,108,,2MASSI J1017075+130839,
66,60,27,2MASS J10224821+5825453,1.41
67,53,49,2MASSW J1036530-344138,0.97
68,34.4,42,2MASS J1047538+212423,0.94
69,13.15,77,DEN 1048-3956,1.07
70,6.516,43,Luhman 16,1.02
71,6.516,40,Luhman 16,1.01
72,49,64,DENIS-P J1058.7−1548,1.00
73,163,8,Cha 110913-773444,1.8
74,554,15,OTS 44,
75,18.2,33,2MASS J11145133−2618235,0.96
76,129,37,2MASS J11544223-3400390,1.50
77,31,64,2MASSW J1155395-372735,1.00
78,36,42,2MASSI J1217110-031113,0.94
79,66,,DENIS-P J1228.2-1547,
80,45.6,41,2M 1237+6526,0.94
81,119,,2MASSW J1239272+551537,
82,38,47,SDSSp J125453.90-012247.4,0.98
83,61,63,Kelu-1,0.98
84,61,58,Kelu-1,0.98
85,65,51,SDSSp J132629.82-003831.5,0.97
86,48,44,SDSSp J134646.45-003150.4,0.94
87,149,59,SDSS J141659.78+500626.4,0.99
88,38,21,DENIS-P J142527.97-365023.4,1.32
89,38.5,76,LHS 2924,1.06
90,47,59,2MASS J14482563+1031590,0.99
91,104,11.1,CFBDSIR 1458+10,1.5
92,104,9,CFBDSIR 1458+10,1.3
93,35.1,75,TVLM 513-46546,1.05
94,20.7,44,2MASS 1503+2525,0.94
95,46,69,2MASSW J1506544+132106,1.02
96,23.9,60,2MASS 1507−1627,0.99
97,89,,SDSS J151114.66+060742.9,
98,34,57,2MASSW J1515008+484742,0.99
99,67,54,2MASSI J1526140+204341,0.98
100,51,63,DENIS-P J153941.96-052042.4,1.00
101,37,44,2MASS J15462718-3325111,0.94
102,68,30,2MASSW J1552591+294849,1.43
103,44,71,2MASSW J1555157-095605,1.03
104,48,42,2MASS J16150413+1340079,0.94
105,36,43,SDSSp J162414.37+002915.6,0.94
106,110,71,2MASS J16262034+3925190,1.03
107,50,49,2MASSW J1632291+190441,0.97
108,60,73,LSPM J1658+7027,1.04
109,18.5,77,LSR J1835+3259,1.07
110,80,6.5,PSO J318.5−22,1.53
111,32.1,46,2MASS J21392676+0220226,0.96
112,35,42,2MASS J22282889-4310262,0.94
113,23.2,,WISE 0005+3737,
114,24.1,,WISE 0049+2151,
115,57.7,,WISE 0138-0322,
116,20.5,,WISE 0146+4234,
117,30,,WISE 0148-7202,
118,28,,WISE 0313+7807,
119,106.3,,WISE 0316+4307,
120,54.8,,WISE 0333-5856,
121,17.7,,WISE 0350-5658,
122,19.2,,WISE 0359-5401,
123,20,6,WISE 0410+1502,1.17
124,35.9,15,WISE 0458+6434,4.2
125,35.9,10,WISE 0458+6434,3.8
126,47,,WISE 0535-7500,
127,25.4,,WISE 0607+2429,
128,28,,WISE 0647-6232,
129,23.2,,WISE 0713-2917,
130,34.9,,WISE 0734-7157,
131,51.5,,WISE 0750+2725,
132,102,,WISE 1147-2040,
133,34.2,12,WISE 1217+1626,
134,34.2,6,WISE 1217+1626,
135,33.9,,WISE 1322-2340,
136,25.3,30,WISE 1405+5534,0.86
137,11.1,,WISE 1506+7027,
138,20,,WISE 1541-2250,
139,32.6,,WISE 1614+1739,
140,50.2,,WISE 1617+1807,
141,52.2,,WISE 1622-0959,
142,50.2,,WISE 1627+3255,
143,16.3,,WISE 1639-6847,
144,28,,WISE 1647+5632,
145,39.5,,WISE 1653+4444,
146,20,,WISE 1738+2732,
147,18.9,,WISE 1741+2553,
148,28.7,57,WISE 1800+0134,
149,47,,WISE 1812+2721,
150,36,,WISE 1828+2650,
151,131.1,,WISE 1841+7000,
152,44.4,,WISE 1952+7240,
153,34.2,,WISE 2030+0749,
154,50.6,,WISE 2015+6646,
155,47.9,,WISE 2018-7423,
156,24.5,,WISE 2056+1459,
157,26.4,,WISE 2220-3628,
158,35.9,,WISE 2313-8037,
159,42.7,,WISE 2359-7335,
160,111,,WISEA 1101+5400,
161,120,40 + 39 + ?,2M1510,
